wkurz;beznr;bezname;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;sprengelanzahl
GRGRAZ08;0100;Innere Stadt;SPÖ;Sozialdemokratische Partei Österreichs;1;1529;16;1513;176;4
GRGRAZ08;0100;Innere Stadt;ÖVP;Österreichische Volkspartei;2;1529;16;1513;617;4
GRGRAZ08;0100;Innere Stadt;KPÖ;Kommunistische Partei Österreichs;3;1529;16;1513;215;4
GRGRAZ08;0100;Innere Stadt;GRÜNE;Die Grünen - Die Grüne Alternative;4;1529;16;1513;299;4
GRGRAZ08;0100;Innere Stadt;FPÖ;Freiheitliche Partei Österreichs;5;1529;16;1513;133;4
GRGRAZ08;0100;Innere Stadt;BZÖ;BZÖ Wir säubern Graz;6;1529;16;1513;61;4
GRGRAZ08;0100;Innere Stadt;;Wegscheidler;7;1529;16;1513;1;4
GRGRAZ08;0100;Innere Stadt;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;1529;16;1513;3;4
GRGRAZ08;0100;Innere Stadt;SALZ;Namensliste Peter PAILER;9;1529;16;1513;6;4
GRGRAZ08;0100;Innere Stadt;ZPA;Zentrumpartei Austria;10;1529;16;1513;2;4
GRGRAZ08;0200;St Leonhard;SPÖ;Sozialdemokratische Partei Österreichs;1;6460;81;6379;746;15
GRGRAZ08;0200;St Leonhard;ÖVP;Österreichische Volkspartei;2;6460;81;6379;2620;15
GRGRAZ08;0200;St Leonhard;KPÖ;Kommunistische Partei Österreichs;3;6460;81;6379;830;15
GRGRAZ08;0200;St Leonhard;GRÜNE;Die Grünen - Die Grüne Alternative;4;6460;81;6379;1501;15
GRGRAZ08;0200;St Leonhard;FPÖ;Freiheitliche Partei Österreichs;5;6460;81;6379;439;15
GRGRAZ08;0200;St Leonhard;BZÖ;BZÖ Wir säubern Graz;6;6460;81;6379;176;15
GRGRAZ08;0200;St Leonhard;;Wegscheidler;7;6460;81;6379;14;15
GRGRAZ08;0200;St Leonhard;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;6460;81;6379;34;15
GRGRAZ08;0200;St Leonhard;SALZ;Namensliste Peter PAILER;9;6460;81;6379;13;15
GRGRAZ08;0200;St Leonhard;ZPA;Zentrumpartei Austria;10;6460;81;6379;6;15
GRGRAZ08;0300;Geidorf;SPÖ;Sozialdemokratische Partei Österreichs;1;9822;108;9714;1304;24
GRGRAZ08;0300;Geidorf;ÖVP;Österreichische Volkspartei;2;9822;108;9714;4156;24
GRGRAZ08;0300;Geidorf;KPÖ;Kommunistische Partei Österreichs;3;9822;108;9714;1091;24
GRGRAZ08;0300;Geidorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;9822;108;9714;1996;24
GRGRAZ08;0300;Geidorf;FPÖ;Freiheitliche Partei Österreichs;5;9822;108;9714;790;24
GRGRAZ08;0300;Geidorf;BZÖ;BZÖ Wir säubern Graz;6;9822;108;9714;275;24
GRGRAZ08;0300;Geidorf;;Wegscheidler;7;9822;108;9714;21;24
GRGRAZ08;0300;Geidorf;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;9822;108;9714;34;24
GRGRAZ08;0300;Geidorf;SALZ;Namensliste Peter PAILER;9;9822;108;9714;41;24
GRGRAZ08;0300;Geidorf;ZPA;Zentrumpartei Austria;10;9822;108;9714;6;24
GRGRAZ08;0400;Lend;SPÖ;Sozialdemokratische Partei Österreichs;1;8987;133;8854;2465;26
GRGRAZ08;0400;Lend;ÖVP;Österreichische Volkspartei;2;8987;133;8854;2408;26
GRGRAZ08;0400;Lend;KPÖ;Kommunistische Partei Österreichs;3;8987;133;8854;1133;26
GRGRAZ08;0400;Lend;GRÜNE;Die Grünen - Die Grüne Alternative;4;8987;133;8854;1103;26
GRGRAZ08;0400;Lend;FPÖ;Freiheitliche Partei Österreichs;5;8987;133;8854;1183;26
GRGRAZ08;0400;Lend;BZÖ;BZÖ Wir säubern Graz;6;8987;133;8854;488;26
GRGRAZ08;0400;Lend;;Wegscheidler;7;8987;133;8854;14;26
GRGRAZ08;0400;Lend;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;8987;133;8854;37;26
GRGRAZ08;0400;Lend;SALZ;Namensliste Peter PAILER;9;8987;133;8854;11;26
GRGRAZ08;0400;Lend;ZPA;Zentrumpartei Austria;10;8987;133;8854;12;26
GRGRAZ08;0500;Gries;SPÖ;Sozialdemokratische Partei Österreichs;1;7567;137;7430;1927;24
GRGRAZ08;0500;Gries;ÖVP;Österreichische Volkspartei;2;7567;137;7430;2032;24
GRGRAZ08;0500;Gries;KPÖ;Kommunistische Partei Österreichs;3;7567;137;7430;1079;24
GRGRAZ08;0500;Gries;GRÜNE;Die Grünen - Die Grüne Alternative;4;7567;137;7430;884;24
GRGRAZ08;0500;Gries;FPÖ;Freiheitliche Partei Österreichs;5;7567;137;7430;1027;24
GRGRAZ08;0500;Gries;BZÖ;BZÖ Wir säubern Graz;6;7567;137;7430;401;24
GRGRAZ08;0500;Gries;;Wegscheidler;7;7567;137;7430;22;24
GRGRAZ08;0500;Gries;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;7567;137;7430;38;24
GRGRAZ08;0500;Gries;SALZ;Namensliste Peter PAILER;9;7567;137;7430;19;24
GRGRAZ08;0500;Gries;ZPA;Zentrumpartei Austria;10;7567;137;7430;1;24
GRGRAZ08;0600;Jakomini;SPÖ;Sozialdemokratische Partei Österreichs;1;11108;217;10891;2285;31
GRGRAZ08;0600;Jakomini;ÖVP;Österreichische Volkspartei;2;11108;217;10891;3523;31
GRGRAZ08;0600;Jakomini;KPÖ;Kommunistische Partei Österreichs;3;11108;217;10891;1581;31
GRGRAZ08;0600;Jakomini;GRÜNE;Die Grünen - Die Grüne Alternative;4;11108;217;10891;1729;31
GRGRAZ08;0600;Jakomini;FPÖ;Freiheitliche Partei Österreichs;5;11108;217;10891;1153;31
GRGRAZ08;0600;Jakomini;BZÖ;BZÖ Wir säubern Graz;6;11108;217;10891;509;31
GRGRAZ08;0600;Jakomini;;Wegscheidler;7;11108;217;10891;27;31
GRGRAZ08;0600;Jakomini;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;11108;217;10891;52;31
GRGRAZ08;0600;Jakomini;SALZ;Namensliste Peter PAILER;9;11108;217;10891;18;31
GRGRAZ08;0600;Jakomini;ZPA;Zentrumpartei Austria;10;11108;217;10891;14;31
GRGRAZ08;0700;Liebenau;SPÖ;Sozialdemokratische Partei Österreichs;1;5359;89;5270;1354;14
GRGRAZ08;0700;Liebenau;ÖVP;Österreichische Volkspartei;2;5359;89;5270;2008;14
GRGRAZ08;0700;Liebenau;KPÖ;Kommunistische Partei Österreichs;3;5359;89;5270;493;14
GRGRAZ08;0700;Liebenau;GRÜNE;Die Grünen - Die Grüne Alternative;4;5359;89;5270;359;14
GRGRAZ08;0700;Liebenau;FPÖ;Freiheitliche Partei Österreichs;5;5359;89;5270;726;14
GRGRAZ08;0700;Liebenau;BZÖ;BZÖ Wir säubern Graz;6;5359;89;5270;275;14
GRGRAZ08;0700;Liebenau;;Wegscheidler;7;5359;89;5270;8;14
GRGRAZ08;0700;Liebenau;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;5359;89;5270;30;14
GRGRAZ08;0700;Liebenau;SALZ;Namensliste Peter PAILER;9;5359;89;5270;10;14
GRGRAZ08;0700;Liebenau;ZPA;Zentrumpartei Austria;10;5359;89;5270;7;14
GRGRAZ08;0800;St.Peter;SPÖ;Sozialdemokratische Partei Österreichs;1;6778;136;6642;869;15
GRGRAZ08;0800;St.Peter;ÖVP;Österreichische Volkspartei;2;6778;136;6642;2993;15
GRGRAZ08;0800;St.Peter;KPÖ;Kommunistische Partei Österreichs;3;6778;136;6642;633;15
GRGRAZ08;0800;St.Peter;GRÜNE;Die Grünen - Die Grüne Alternative;4;6778;136;6642;1350;15
GRGRAZ08;0800;St.Peter;FPÖ;Freiheitliche Partei Österreichs;5;6778;136;6642;504;15
GRGRAZ08;0800;St.Peter;BZÖ;BZÖ Wir säubern Graz;6;6778;136;6642;225;15
GRGRAZ08;0800;St.Peter;;Wegscheidler;7;6778;136;6642;9;15
GRGRAZ08;0800;St.Peter;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;6778;136;6642;41;15
GRGRAZ08;0800;St.Peter;SALZ;Namensliste Peter PAILER;9;6778;136;6642;14;15
GRGRAZ08;0800;St.Peter;ZPA;Zentrumpartei Austria;10;6778;136;6642;4;15
GRGRAZ08;0900;Waltendorf;SPÖ;Sozialdemokratische Partei Österreichs;1;5745;96;5649;723;13
GRGRAZ08;0900;Waltendorf;ÖVP;Österreichische Volkspartei;2;5745;96;5649;2729;13
GRGRAZ08;0900;Waltendorf;KPÖ;Kommunistische Partei Österreichs;3;5745;96;5649;552;13
GRGRAZ08;0900;Waltendorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;5745;96;5649;930;13
GRGRAZ08;0900;Waltendorf;FPÖ;Freiheitliche Partei Österreichs;5;5745;96;5649;498;13
GRGRAZ08;0900;Waltendorf;BZÖ;BZÖ Wir säubern Graz;6;5745;96;5649;159;13
GRGRAZ08;0900;Waltendorf;;Wegscheidler;7;5745;96;5649;6;13
GRGRAZ08;0900;Waltendorf;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;5745;96;5649;34;13
GRGRAZ08;0900;Waltendorf;SALZ;Namensliste Peter PAILER;9;5745;96;5649;9;13
GRGRAZ08;0900;Waltendorf;ZPA;Zentrumpartei Austria;10;5745;96;5649;9;13
GRGRAZ08;1000;Ries;SPÖ;Sozialdemokratische Partei Österreichs;1;2692;35;2657;386;7
GRGRAZ08;1000;Ries;ÖVP;Österreichische Volkspartei;2;2692;35;2657;1232;7
GRGRAZ08;1000;Ries;KPÖ;Kommunistische Partei Österreichs;3;2692;35;2657;257;7
GRGRAZ08;1000;Ries;GRÜNE;Die Grünen - Die Grüne Alternative;4;2692;35;2657;406;7
GRGRAZ08;1000;Ries;FPÖ;Freiheitliche Partei Österreichs;5;2692;35;2657;256;7
GRGRAZ08;1000;Ries;BZÖ;BZÖ Wir säubern Graz;6;2692;35;2657;83;7
GRGRAZ08;1000;Ries;;Wegscheidler;7;2692;35;2657;11;7
GRGRAZ08;1000;Ries;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;2692;35;2657;19;7
GRGRAZ08;1000;Ries;SALZ;Namensliste Peter PAILER;9;2692;35;2657;5;7
GRGRAZ08;1000;Ries;ZPA;Zentrumpartei Austria;10;2692;35;2657;2;7
GRGRAZ08;1100;Mariatrost;SPÖ;Sozialdemokratische Partei Österreichs;1;4146;47;4099;400;9
GRGRAZ08;1100;Mariatrost;ÖVP;Österreichische Volkspartei;2;4146;47;4099;2091;9
GRGRAZ08;1100;Mariatrost;KPÖ;Kommunistische Partei Österreichs;3;4146;47;4099;378;9
GRGRAZ08;1100;Mariatrost;GRÜNE;Die Grünen - Die Grüne Alternative;4;4146;47;4099;762;9
GRGRAZ08;1100;Mariatrost;FPÖ;Freiheitliche Partei Österreichs;5;4146;47;4099;319;9
GRGRAZ08;1100;Mariatrost;BZÖ;BZÖ Wir säubern Graz;6;4146;47;4099;106;9
GRGRAZ08;1100;Mariatrost;;Wegscheidler;7;4146;47;4099;12;9
GRGRAZ08;1100;Mariatrost;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;4146;47;4099;23;9
GRGRAZ08;1100;Mariatrost;SALZ;Namensliste Peter PAILER;9;4146;47;4099;5;9
GRGRAZ08;1100;Mariatrost;ZPA;Zentrumpartei Austria;10;4146;47;4099;3;9
GRGRAZ08;1200;Andritz;SPÖ;Sozialdemokratische Partei Österreichs;1;8542;127;8415;1533;19
GRGRAZ08;1200;Andritz;ÖVP;Österreichische Volkspartei;2;8542;127;8415;3595;19
GRGRAZ08;1200;Andritz;KPÖ;Kommunistische Partei Österreichs;3;8542;127;8415;839;19
GRGRAZ08;1200;Andritz;GRÜNE;Die Grünen - Die Grüne Alternative;4;8542;127;8415;1273;19
GRGRAZ08;1200;Andritz;FPÖ;Freiheitliche Partei Österreichs;5;8542;127;8415;783;19
GRGRAZ08;1200;Andritz;BZÖ;BZÖ Wir säubern Graz;6;8542;127;8415;306;19
GRGRAZ08;1200;Andritz;;Wegscheidler;7;8542;127;8415;18;19
GRGRAZ08;1200;Andritz;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;8542;127;8415;48;19
GRGRAZ08;1200;Andritz;SALZ;Namensliste Peter PAILER;9;8542;127;8415;14;19
GRGRAZ08;1200;Andritz;ZPA;Zentrumpartei Austria;10;8542;127;8415;6;19
GRGRAZ08;1300;Gösting;SPÖ;Sozialdemokratische Partei Österreichs;1;4172;56;4116;1010;12
GRGRAZ08;1300;Gösting;ÖVP;Österreichische Volkspartei;2;4172;56;4116;1435;12
GRGRAZ08;1300;Gösting;KPÖ;Kommunistische Partei Österreichs;3;4172;56;4116;425;12
GRGRAZ08;1300;Gösting;GRÜNE;Die Grünen - Die Grüne Alternative;4;4172;56;4116;394;12
GRGRAZ08;1300;Gösting;FPÖ;Freiheitliche Partei Österreichs;5;4172;56;4116;568;12
GRGRAZ08;1300;Gösting;BZÖ;BZÖ Wir säubern Graz;6;4172;56;4116;251;12
GRGRAZ08;1300;Gösting;;Wegscheidler;7;4172;56;4116;7;12
GRGRAZ08;1300;Gösting;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;4172;56;4116;12;12
GRGRAZ08;1300;Gösting;SALZ;Namensliste Peter PAILER;9;4172;56;4116;9;12
GRGRAZ08;1300;Gösting;ZPA;Zentrumpartei Austria;10;4172;56;4116;5;12
GRGRAZ08;1400;Eggenberg;SPÖ;Sozialdemokratische Partei Österreichs;1;7061;161;6900;1594;19
GRGRAZ08;1400;Eggenberg;ÖVP;Österreichische Volkspartei;2;7061;161;6900;2356;19
GRGRAZ08;1400;Eggenberg;KPÖ;Kommunistische Partei Österreichs;3;7061;161;6900;767;19
GRGRAZ08;1400;Eggenberg;GRÜNE;Die Grünen - Die Grüne Alternative;4;7061;161;6900;815;19
GRGRAZ08;1400;Eggenberg;FPÖ;Freiheitliche Partei Österreichs;5;7061;161;6900;930;19
GRGRAZ08;1400;Eggenberg;BZÖ;BZÖ Wir säubern Graz;6;7061;161;6900;349;19
GRGRAZ08;1400;Eggenberg;;Wegscheidler;7;7061;161;6900;16;19
GRGRAZ08;1400;Eggenberg;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;7061;161;6900;53;19
GRGRAZ08;1400;Eggenberg;SALZ;Namensliste Peter PAILER;9;7061;161;6900;12;19
GRGRAZ08;1400;Eggenberg;ZPA;Zentrumpartei Austria;10;7061;161;6900;8;19
GRGRAZ08;1500;Wetzelsdorf;SPÖ;Sozialdemokratische Partei Österreichs;1;5853;89;5764;1524;15
GRGRAZ08;1500;Wetzelsdorf;ÖVP;Österreichische Volkspartei;2;5853;89;5764;1860;15
GRGRAZ08;1500;Wetzelsdorf;KPÖ;Kommunistische Partei Österreichs;3;5853;89;5764;661;15
GRGRAZ08;1500;Wetzelsdorf;GRÜNE;Die Grünen - Die Grüne Alternative;4;5853;89;5764;457;15
GRGRAZ08;1500;Wetzelsdorf;FPÖ;Freiheitliche Partei Österreichs;5;5853;89;5764;819;15
GRGRAZ08;1500;Wetzelsdorf;BZÖ;BZÖ Wir säubern Graz;6;5853;89;5764;382;15
GRGRAZ08;1500;Wetzelsdorf;;Wegscheidler;7;5853;89;5764;16;15
GRGRAZ08;1500;Wetzelsdorf;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;5853;89;5764;35;15
GRGRAZ08;1500;Wetzelsdorf;SALZ;Namensliste Peter PAILER;9;5853;89;5764;6;15
GRGRAZ08;1500;Wetzelsdorf;ZPA;Zentrumpartei Austria;10;5853;89;5764;4;15
GRGRAZ08;1600;Straßgang;SPÖ;Sozialdemokratische Partei Österreichs;1;5703;84;5619;1410;14
GRGRAZ08;1600;Straßgang;ÖVP;Österreichische Volkspartei;2;5703;84;5619;2029;14
GRGRAZ08;1600;Straßgang;KPÖ;Kommunistische Partei Österreichs;3;5703;84;5619;547;14
GRGRAZ08;1600;Straßgang;GRÜNE;Die Grünen - Die Grüne Alternative;4;5703;84;5619;475;14
GRGRAZ08;1600;Straßgang;FPÖ;Freiheitliche Partei Österreichs;5;5703;84;5619;790;14
GRGRAZ08;1600;Straßgang;BZÖ;BZÖ Wir säubern Graz;6;5703;84;5619;312;14
GRGRAZ08;1600;Straßgang;;Wegscheidler;7;5703;84;5619;10;14
GRGRAZ08;1600;Straßgang;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;5703;84;5619;26;14
GRGRAZ08;1600;Straßgang;SALZ;Namensliste Peter PAILER;9;5703;84;5619;15;14
GRGRAZ08;1600;Straßgang;ZPA;Zentrumpartei Austria;10;5703;84;5619;5;14
GRGRAZ08;1700;Puntigam;SPÖ;Sozialdemokratische Partei Österreichs;1;2690;49;2641;636;7
GRGRAZ08;1700;Puntigam;ÖVP;Österreichische Volkspartei;2;2690;49;2641;912;7
GRGRAZ08;1700;Puntigam;KPÖ;Kommunistische Partei Österreichs;3;2690;49;2641;234;7
GRGRAZ08;1700;Puntigam;GRÜNE;Die Grünen - Die Grüne Alternative;4;2690;49;2641;201;7
GRGRAZ08;1700;Puntigam;FPÖ;Freiheitliche Partei Österreichs;5;2690;49;2641;451;7
GRGRAZ08;1700;Puntigam;BZÖ;BZÖ Wir säubern Graz;6;2690;49;2641;184;7
GRGRAZ08;1700;Puntigam;;Wegscheidler;7;2690;49;2641;3;7
GRGRAZ08;1700;Puntigam;ÖABP;Österreichische Autofahrer- und Bürgerinteressen Partei;8;2690;49;2641;11;7
GRGRAZ08;1700;Puntigam;SALZ;Namensliste Peter PAILER;9;2690;49;2641;2;7
GRGRAZ08;1700;Puntigam;ZPA;Zentrumpartei Austria;10;2690;49;2641;7;7
